Bed Name,Site Code,Survey Date,Survey Day,NWSC Max Ext,Survey Month,Survey Year,Acres,Temp,Temp1 Shore Edge,Temp1 Water Edge,Temp2 Shore Edge,Temp2 Water Edge,Ave Temp Shore Edge,Ave Temp Water Edge
Hat Island,HAT-S,2017-08-24,24.0,1.0,8.0,2017.0,27.03951246306165,15.0,,,,,,
Hat Island,HAT-S,2018-08-13,13.0,1.0,8.0,2018.0,32.96851548224522,,,,,,,
Hat Island,HAT-S,2019-08-12,12.0,1.0,8.0,2019.0,40.19816177668257,15.0,,,,,,
Hat Island,HAT-S,2020-08-17,17.0,1.0,8.0,2020.0,15.41762739558396,,16.0,16.0,,,16.0,16.0
Hat Island,HAT-S,2021-08-10,10.0,1.0,8.0,2021.0,27.21370851983236,18.0,,,,,,
Hat Island,HAT-S,2022-08-11,11.0,1.0,8.0,2022.0,14.19504801463806,,18.0,18.0,,,18.0,18.0
Hat Island,HAT-S,2023-08-14,14.0,1.0,8.0,2023.0,38.93304023872739,,15.2,15.2,,,15.2,15.2
Hat Island,HAT-S,2024-07-08,8.0,0.0,7.0,2024.0,30.61459204974364,,18.9,18.9,18.9,18.9,18.9,18.9
Hat Island,HAT-S,2024-08-05,5.0,0.0,8.0,2024.0,46.11502993048735,,16,16,16,16,16.0,16.0
Hat Island,HAT-S,2024-09-16,16.0,1.0,9.0,2024.0,60.45122855173041,,14,14,14,14,14.0,14.0
